mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_n_estimators;param_min_samples_split;param_min_samples_leaf;param_max_depth;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0,800397444;0,178118793;0,020952415;0,003914441;200;10;1;20;{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,99576807;0,063096663;0,042187357;0,005309726;500;5;2;;{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,2151618;0,026774629;0,022713995;0,004653341;300;10;1;10;{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,769675493;0,036380352;0,02244215;0,015273589;200;2;4;10;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,410782814;0,021509449;0,013812542;0,009672115;100;10;2;5;{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 5};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,42214818;0,026556671;0,008834171;0,001005072;100;2;2;;{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None};1;0,999466667;0,999466667;1;1;0,999786667;0,000261279;25
0,388149309;0,02211485;0,009437418;0,001894017;100;2;4;20;{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20};1;0,999466667;0,999466667;1;1;0,999786667;0,000261279;25
0,68964715;0,045082148;0,015679789;0,004317283;200;5;4;5;{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,096009684;0,054156849;0,02388854;0,002777802;300;5;4;5;{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5};1;1;1;1;1;1;0;1
1,242062426;0,161200898;0,0672575;0,086145067;300;5;2;;{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None};1;0,999466667;1;1;1;0,999893333;0,000213333;4
2,673458815;0,058184195;0,054454756;0,009189733;500;2;2;5;{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 5};1;1;1;1;1;1;0;1
1,504487276;0,327242742;0,029733419;0,006480499;300;5;1;10;{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,122001982;0,016323044;0,027001381;0,00610028;300;10;2;10;{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,737902308;0,031949398;0,017676497;0,004369192;200;2;4;20;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,384060001;0,042820388;0,010691071;0,003495514;100;5;4;10;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10};1;0,999466667;0,999466667;1;1;0,999786667;0,000261279;25
0,328230333;0,004346325;0,0097332;0,00165183;100;5;4;5;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5};1;0,999466667;1;1;1;0,999893333;0,000213333;4
2,279529476;0,039310921;0,038720703;0,006248812;500;2;4;;{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,893334389;0,07035401;0,017231226;0,003810965;200;10;4;5;{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 5};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,747175264;0,038475496;0,01555438;0,002421631;200;5;2;20;{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20};1;0,999466667;0,999466667;1;1;0,999786667;0,000261279;25
0,730646229;0,021803177;0,017454529;0,004651305;200;2;1;10;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10};1;0,999466667;1;1;1;0,999893333;0,000213333;4
2,019547176;0,059519077;0,038955832;0,006583252;500;10;1;;{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,932291937;0,137775011;0,040633249;0,006375051;500;10;1;20;{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,296951818;0,017310138;0,021340561;0,003894404;300;2;1;20;{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,898212862;0,046834874;0,018829012;0,008508212;200;5;1;20;{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20};1;0,999466667;1;1;1;0,999893333;0,000213333;4
1,979192829;0,103292388;0,041609049;0,006394256;500;5;2;5;{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5};1;1;1;1;1;1;0;1
0,771295071;0,061563176;0,024062872;0,007024916;200;10;1;5;{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,727891064;0,025288681;0,016818047;0,002769549;200;10;1;;{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,393867636;0,073120822;0,009691334;0,002659144;100;5;1;;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None};1;0,999466667;0,999466667;1;1;0,999786667;0,000261279;25
1,013265276;0,032176789;0,017369652;0,002304924;300;2;4;;{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None};1;0,999466667;1;1;1;0,999893333;0,000213333;4
0,354231644;0,019051968;0,007669926;0,001427733;100;5;2;20;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20};1;0,999466667;0,999466667;1;1;0,999786667;0,000261279;25
