mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_n_estimators;param_max_depth;param_learning_rate;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0,067210388;0,010566255;0,003571796;0,000643532;0,6;100;5;0,2;{'subsample': 0.6, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2};0,997334755;0,998933333;0,995733333;1;1;0,998400284;0,001652289;14
0,052339315;0,006545839;0,003656197;0,001754276;0,8;100;7;0,01;{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01};0,997867804;0,9984;0,995733333;1;1;0,998400227;0,001582046;22
0,039626408;0,007845986;0,002528811;0,000238859;0,8;100;5;0,1;{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1};0,997867804;0,998933333;0,995733333;1;1;0,998506894;0,001596349;12
0,090265512;0,005589171;0,004723454;0,0013751;0,8;300;7;0,1;{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1};0,997334755;0,998933333;0,996266667;1;1;0,998506951;0,00148547;9
0,031265354;0,004852909;0,002866888;0,001232442;1;100;7;0,05;{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.05};0,997334755;0,998933333;0,995733333;1;1;0,998400284;0,001652289;14
0,072467947;0,00710943;0,004192448;0,002089587;0,6;200;5;0,01;{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01};0,997867804;0,997333333;0,9952;1;1;0,998080227;0,00180387;26
0,093541813;0,004522501;0,005220175;0,002770365;0,6;300;7;0,2;{'subsample': 0.6, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.2};0,997334755;0,998933333;0,995733333;1;1;0,998400284;0,001652289;14
0,035355759;0,008232203;0,002876663;0,000950298;1;100;10;0,05;{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05};0,997334755;0,998933333;0,995733333;1;1;0,998400284;0,001652289;14
0,072997808;0,012333911;0,004759502;0,001719953;0,6;200;10;0,05;{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.05};0,997867804;0,9984;0,9968;1;1;0,998613561;0,0012438;4
0,038593435;0,005493093;0,002169228;0,000531719;0,6;100;7;0,01;{'subsample': 0.6, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01};0,997867804;0,997866667;0,994666667;1;1;0,998080227;0,001955208;26
