ITEMID;CATEGORY1;CATEGORY1_ID;CATEGORY2;CATEGORY2_ID;CATEGORY3;CATEGORY3_ID;CATEGORY4;CATEGORY4_ID;BRAND;ITEMCODE;ITEMNAME
1;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Battery;64-92313129;KODAK;5;BATTERY KODAK XTRA HEAVY 9 V
2;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;6;BATTERY KODAK AA 6+2 MAX ALKALINE PEN
3;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;9;BATTERY-POWERED SOUND AIRCRAFT
4;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;11;VACUUM CARRIER TRUCK
5;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;15;TOY BOX.4 PCS METAL CHECK DROP
6;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;16;TOY RAG DOLL
7;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;17;OFICA RIBBON DAKSIL
8;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;18;OFFICA UTILITY KNIFE TIP
9;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;19;OFICA FH4550 CALCULATOR
10;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Storage Container;73-101231664;UDAG;21;PRT. UDAG WA0030 STORAGE CONTAINER
11;Cleaning;246161229;Household Items;15-2411716670;Plastic Household Items;86-6279920;Plastic;73-92239760;UDAG;22;PRT. UDAG WA0046 TOILET PAPER HOLDER
12;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;23;LETTUCE CURLY
13;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;29;CARPEX TYPES AIR CONDITIONING FRAGRANCE SUMMER BREEZE
14;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;30;BATTERY KODAK XTRA HEAVY PEN 2 PCS
15;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;35;BABY WITH COLORED HAIR IN A TOY BOX
16;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;36;FIGURED STUDENT SCISSORS
17;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;37;FENCE FILE
18;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Onion;155-101702723;SOGAN;40;ONION KISKA PK.
19;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;42;TOMATO COCKTAIL CANDY PACKAGE
20;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;43;GOLBASI MAROL
21;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;44;GOLBASI MAROL KIVIRCIK
22;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Radish;155-977592112;TURP;47;RADISH JAPANESE
23;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Pear;155-236197112;ARMUT;49;PEAR DEVECI
24;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;54;TOMATO BEE CLUSTER
25;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Potato;87-929797101;PATATES;55;POTATO
26;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Radish;155-977592112;TURP;56;RADISH
27;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Apple;155-24612331;ELMA;59;APPLE MUSCAT
28;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Apple;155-24612331;ELMA;60;APPLE STAR
29;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Piece Drumstick;154-92232397;BANVIT;65;BANVIT PLATED BAGUETTE KG.
30;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Piece Wing;154-92602327;BANVIT;66;BANVIT PLATED SPECIAL WINGS KG.
31;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Piece Thigh;154-9275234;MUDURNU;67;MUDURNU PLATED THIGH
